version,released_at,era,wheel_bytes,total_gzip,total_raw,entry_gzip,entry_raw,initial_gzip,initial_raw,js_gzip,css_gzip,other_gzip,file_count,js_file_count,initial_file_count,initial_js_count
1.33.0,2024-04-04,webpack,8139298,7294440,20315166,1006679,4381955,1011821,4411003,4979544,13098,2301345,159,59,2,1
1.34.0,2024-05-02,webpack,8505715,7625040,20839439,1010602,4398523,1015912,4428111,5062555,13266,2548767,160,59,2,1
1.35.0,2024-05-23,webpack,8581406,7682645,20997459,1010993,4405422,1016192,4434668,5120287,13164,2548742,158,57,2,1
1.36.0,2024-06-20,webpack,8589272,7686217,21017279,1014573,4424694,1019772,4453940,5123861,13164,2548740,158,57,2,1
1.37.0,2024-07-25,webpack,8651320,7734574,21081940,1017248,4437710,1022446,4466954,5130374,13163,2590584,159,58,2,1
1.37.1,2024-08-05,webpack,8651395,7734574,21081940,1017248,4437710,1022446,4466954,5130374,13163,2590584,159,58,2,1
1.38.0,2024-08-27,webpack,8741278,7815219,21962809,1038848,4509950,1044077,4539306,5210186,13244,2591336,161,59,2,1
1.39.0,2024-10-01,webpack,8741335,7801187,21952964,1049239,4546494,1054468,4575850,5196118,13244,2591372,164,62,2,1
1.39.1,2025-01-21,webpack,8741006,7801187,21952964,1049239,4546494,1054468,4575850,5196118,13244,2591372,164,62,2,1
1.40.0,2024-11-06,webpack,8634735,7682405,21003356,1027084,4507470,1032047,4536033,5103355,11951,2566647,164,62,2,1
1.40.1,2024-11-11,webpack,8645398,7692523,21013742,1027102,4507507,1032066,4536070,5103474,11952,2576644,164,62,2,1
1.40.2,2024-11-25,webpack,8644775,7691978,21012399,1026552,4506134,1031516,4534697,5102930,11952,2576644,164,62,2,1
1.41.0,2024-12-10,vite-scan,23424398,8145839,22410010,1136855,5020656,1145272,5052331,5522054,16023,2606874,164,70,2,1
1.41.1,2024-12-13,vite-scan,9100386,8143294,22406738,1136820,5020613,1145237,5052288,5519509,16023,2606874,164,70,2,1
1.42.0,2025-02-04,vite-scan,9560180,8582518,22270896,1445673,6040530,1454097,6072222,5855598,16030,2709999,164,70,2,1
1.42.1,2025-02-17,vite-scan,9559714,8582504,22270992,1445694,6040547,1454118,6072239,5855585,16030,2709999,164,70,2,1
1.42.2,2025-02-20,vite-scan,9559800,8582569,22271035,1445700,6040547,1454124,6072239,5855649,16030,2709999,164,70,2,1
1.43.0,2025-03-04,vite-scan,9734392,8747246,23060316,1535384,6608000,1543808,6639692,6019131,16030,2711193,167,73,2,1
1.43.1,2025-03-07,vite-scan,9734547,8747206,23060626,1535406,6608224,1543830,6639916,6019091,16030,2711193,167,73,2,1
1.43.2,2025-03-11,vite-scan,9734394,8747073,23060551,1535434,6608314,1543858,6640006,6018959,16030,2711193,167,73,2,1
1.44.0,2025-03-25,vite-scan,9812034,8821522,23339372,1564659,6785447,1573083,6817139,6085756,16037,2718839,167,73,2,1
1.44.1,2025-04-01,vite-scan,9812242,8821724,23339884,1564782,6785826,1573206,6817518,6085959,16037,2718839,167,73,2,1
1.45.0,2025-04-29,vite-scan,9856265,8853649,23457369,1578784,6844690,1587208,6876382,6114978,16037,2721743,168,74,2,1
1.45.1,2025-05-12,vite-scan,9856294,8853700,23457487,1578819,6844808,1587243,6876500,6115028,16037,2721743,168,74,2,1
1.46.0,2025-06-18,vite+manifest,10050930,9030931,23765137,1585459,6949329,1593705,6979280,6119767,15859,2894454,156,73,2,1
1.46.1,2025-06-26,vite+manifest,10051346,9031124,23765453,1585567,6949645,1593813,6979596,6119969,15859,2894445,156,73,2,1
1.47.0,2025-07-16,vite+manifest,9944331,8915730,22889181,1493538,6149931,1501784,6179882,6004856,15575,2894447,156,73,2,1
1.47.1,2025-07-25,vite+manifest,9944872,8916175,22890493,1493856,6151050,1502102,6181001,6005301,15575,2894448,156,73,2,1
1.48.0,2025-08-05,vite+manifest,9928889,8890388,22825585,1466988,6079719,1475234,6109670,5979503,15597,2894436,156,73,2,1
1.48.1,2025-08-13,vite+manifest,9928586,8890430,22825661,1466998,6079721,1475244,6109672,5979533,15597,2894448,156,73,2,1
1.49.0,2025-08-26,vite+manifest,10044260,8996599,23256268,1786255,7108644,1794501,7138595,6063878,15566,2916305,152,69,2,1
1.49.1,2025-08-29,vite+manifest,10044388,8996728,23256352,1786287,7108681,1794533,7138632,6063992,15566,2916320,152,69,2,1
1.50.0,2025-09-23,vite+manifest,10068477,9008404,23297321,1799127,7161548,1807372,7191499,6075020,15567,2916966,152,69,2,1
1.51.0,2025-10-29,vite+manifest,10171702,9029799,23360393,1778091,7078466,1786339,7108417,6095305,15566,2918077,154,71,2,1
1.52.0,2025-12-04,vite+manifest,9024661,7847161,19378485,535272,2265771,543520,2295722,4911562,15566,2919182,183,100,2,1
1.52.1,2025-12-05,vite+manifest,9024748,7847255,19378535,535302,2265821,543550,2295772,4911654,15566,2919184,183,100,2,1
1.52.2,2025-12-17,vite+manifest,9025937,7847624,19380160,535717,2267361,543965,2297312,4912032,15566,2919176,183,100,2,1
