id,number,title,state,author,created_at,updated_at,closed_at,labels,comments,reactions_total,html_url,summary
3619701902,13007,"On Cloud, admin error also leads to branch error",open,jrieke,2025-11-13T06:29:27Z,2025-11-13T06:29:37Z,,"type:enhancement, feature:community-cloud",1,1,https://github.com/streamlit/streamlit/issues/13007,Users deploying from GitHub repositories without admin permissions on Streamlit Community Cloud encounter a misleading error stating the branch doesn't exist alongside the expected permission error. This occurs because the system likely fails to access the repo to verify the branch. The goal is to suppress the incorrect branch error and only display the relevant admin permission error to improve clarity.
3618302107,13005,Integer/pixel size for `gap` parameter in `st.container` and `st.columns`,open,jrieke,2025-11-12T21:31:31Z,2025-11-13T12:14:44Z,,"type:enhancement, good first issue, feature:st.container, feature:st.columns",2,1,https://github.com/streamlit/streamlit/issues/13005,"The `gap` parameter in `st.container` and `st.columns` currently only accepts restricted string values like 'small', 'medium', or 'large'. This limits design flexibility when precise spacing is needed. The request is to allow integer inputs for `gap` to define specific pixel sizes, providing developers with finer control over layout spacing similar to other width or height parameters."
3616780686,13002,Add an option to fully disable sidebar rendering until authentication or page load is complete,open,andrejunior201,2025-11-12T14:22:26Z,2025-11-13T11:18:31Z,,"type:enhancement, feature:st.sidebar",4,2,https://github.com/streamlit/streamlit/issues/13002,"Streamlit currently renders the sidebar and navigation before backend logic executes, causing a 'flicker' or security issue where unauthenticated users can briefly see or click navigation links. This premature rendering creates UX inconsistencies and potential security loopholes for apps with custom authentication. The proposed solution is to add a configuration option, such as `st.set_page_config(show_sidebar_on_load=False)`, to delay sidebar rendering until explicitly allowed by the script."
3616300255,13001,Streamlit blog DNS error,open,manchunyu,2025-11-12T12:15:28Z,2025-11-12T17:33:32Z,,"type:bug, status:confirmed",1,2,https://github.com/streamlit/streamlit/issues/13001,The Streamlit blog at https://blog.streamlit.io/ is currently inaccessible due to a DNS error. Users are reporting this downtime which has persisted for a few days. This issue tracks the outage so it can be resolved to restore access to the blog.
3612600186,12995,"st.login against MSAL returns authlib OAuthError AADSTS900144: ""The request body must contain the following parameter 'client_id'""",open,skruehoetl,2025-11-11T14:39:47Z,2025-11-12T17:28:36Z,,"type:bug, status:needs-triage",1,1,https://github.com/streamlit/streamlit/issues/12995,"Users attempting to authenticate against an enterprise MSAL tenant using `st.login` are encountering an `authlib` OAuthError. The specific error `AADSTS900144` indicates that the `client_id` parameter is missing from the request body during the token exchange. This bug prevents successful login, resulting in a 500 Internal Server Error, despite the authentication process appearing to initiate correctly."
3610897181,12992,AI-assisted `st.date_input`,open,jrieke,2025-11-11T06:28:02Z,2025-11-12T17:23:40Z,,"type:enhancement, feature:st.date_input, area:ai",2,1,https://github.com/streamlit/streamlit/issues/12992,"This feature request proposes adding an AI-assisted text input field to `st.date_input`. Users could describe a date range in natural language, such as 'from the first to the last day of Q2 in 2023,' and an LLM would interpret this to select the appropriate dates automatically. This enhancement aims to make date selection more intuitive and efficient compared to manual picking."
3610884584,12991,AI-assisted chart builder,open,jrieke,2025-11-11T06:22:41Z,2025-11-11T06:30:57Z,,"type:enhancement, feature:st.dataframe, feature:charts, area:ai",1,1,https://github.com/streamlit/streamlit/issues/12991,"This request suggests integrating an AI-assisted chart builder where users can describe the desired chart in natural language via a text input. The system would then generate a Vega or Plotly specification using an LLM to render the chart. This would likely sit on top of a UI-based chart builder, providing an easier way to create complex visualizations."
3610874484,12990,AI-generated summary/help text in `st.exception`,open,jrieke,2025-11-11T06:18:20Z,2025-11-11T06:18:55Z,,"type:enhancement, feature:st.exception, area:ai",1,1,https://github.com/streamlit/streamlit/issues/12990,"Currently, `st.exception` allows users to open exceptions in ChatGPT externally. This proposal suggests integrating LLM capabilities directly into the app to automatically generate and display a summary or helpful advice for exceptions. This would streamline debugging by providing immediate insights within the app interface."
3609891536,12988,Make `st.audio` use the same waveform UI as `st.audio_input`,open,jrieke,2025-11-10T22:12:13Z,2025-11-10T22:12:24Z,,"type:enhancement, feature:st.audio, feature:st.audio_input",1,1,https://github.com/streamlit/streamlit/issues/12988,"`st.audio` currently relies on the standard browser HTML audio player, which lacks the visual appeal of the waveform UI used by `st.audio_input`. The goal is to unify the design by updating `st.audio` to use the same waveform visualization. This update must maintain existing functionality such as playback speed control, volume settings, and download options."
3609167247,12986,"Markdown rendering empty triple-backtick code fence adds the string ""undefined""",open,DrShushen,2025-11-10T18:16:45Z,2025-11-10T19:14:16Z,,"type:bug, feature:markdown, status:confirmed, priority:P3, feature:st.code",2,1,https://github.com/streamlit/streamlit/issues/12986,"When rendering an empty triple-backtick code fence in Markdown, Streamlit incorrectly displays the string 'undefined' inside the code block instead of showing an empty grey rectangle. This is a regression from previous behavior where empty code blocks were rendered correctly. The issue affects `st.markdown` when provided with a code block containing no content."
